chr_name	start	end	val	color	gene
chr3	53317448	53381570	1	gray	DCP1A
chr1	17575592	17610727	1	gray	PADI3
chr22	30687978	30722930	1	gray	TBC1D10A
chr17	39502344	39507080	1	gray	KRT33A
chr12	2055218	2113623	1	gray	DCP1B
chr9	116169518	116173029	1	gray	POLE3
chr2	225629806	225907185	1	gray	DOCK10
chr1	161016735	161039681	1	gray	ARHGAP30
chr1	17634691	17690499	1	gray	PADI4
chrX	117629871	117820123	1	gray	DOCK11
chr17	39519749	39526065	1	gray	KRT33B
chr17	29421944	29704695	1	gray	NF1
chr16	30368422	30381815	1	gray	TBC1D10B
chr3	119013229	119139561	1	gray	ARHGAP31
chr2	75185769	75197255	1	gray	POLE4
chr22	29999544	30094589	1	gray	NF2
chr11	128834954	129149413	1	gray	ARHGAP32
chr11	67171383	67177561	1	gray	TBC1D10C
chr8	145086447	145102015	1	gray	SPATC1
chr1	17698690	17728195	1	gray	PADI6
chr19	36266465	36279724	1	gray	ARHGAP33
chr3	129366634	129612554	1	gray	TMCC1
chr1	160799949	160832677	1	gray	CD244
chr12	110971049	111021123	1	gray	PPTC7
chr1	205197073	205242471	1	gray	TMCC2
chr19	47364253	47508333	1	gray	ARHGAP35
chr12	94960897	95044333	1	gray	TMCC3
chr7	154735399	154794834	1	gray	PAXIP1
chrX	130192319	130223859	1	gray	ARHGAP36
chr1	167399876	167487766	1	gray	CD247
chr19	51020149	51071692	1	gray	LRRC4B
chr17	71189193	71204645	1	gray	COG1
chr11	66081964	66084515	1	gray	CD248
chr7	76940067	77045666	1	gray	GSAP
chr11	40135750	41481202	1	gray	LRRC4C
chr3	9791627	9808353	1	gray	OGG1
chr1	230778226	230829728	1	gray	COG2
chr13	46039073	46110836	1	gray	COG3
chr8	145754562	145911231	1	gray	ARHGAP39
chr16	70514469	70557457	1	gray	COG4
chr21	48018516	48024995	1	gray	S100B
chr7	106841816	107204365	1	gray	COG5
chr22	37956486	37965410	1	gray	CDC42EP1
chr13	40229798	40365803	1	gray	COG6
chr3	44626455	44689963	1	gray	ZNF660-ZNF197
chr16	23399813	23464510	1	gray	COG7
chr11	65082336	65089887	1	gray	CDC42EP2
chr16	69360330	69373467	1	gray	COG8
chr13	73356270	73590597	1	gray	PIBF1
chr9	21165635	21166659	1	gray	IFNA21
chr3	9834231	9878040	1	gray	ARPC4-TTLL3
chr2	37869086	37900092	1	gray	CDC42EP3
chr19	19639719	19648390	1	gray	YJEFN3
chr17	71279762	71308140	1	gray	CDC42EP4
chrX	16668280	16672793	1	gray	S100G
chr19	54976209	54984443	1	gray	CDC42EP5
chr19	14072341	14117132	1	gray	RFX1
chr19	5993174	6110511	1	gray	RFX2
chr9	3218296	3526001	1	gray	RFX3
chr1	18807423	18812480	1	gray	KLHDC7A
chr22	50984327	50989452	1	gray	KLHDC7B
chr12	106976781	107156581	1	gray	RFX4
chr7	150929568	150935913	1	gray	CHPF2
chr19	9577030	9609292	1	gray	ZNF560
chr12	48961466	48965628	1	gray	LALBA
chr1	151313115	151319728	1	gray	RFX5
chr19	40721964	40724306	1	gray	TTC9B
chr19	9718005	9731908	1	gray	ZNF561
chr6	117198404	117253323	1	gray	RFX6
chr22	19023794	19109967	1	gray	DGCR2
chr19	9752482	9785776	1	gray	ZNF562
chr15	56379477	56537280	1	gray	RFX7
chr11	62495544	62506108	1	gray	TTC9C
chr19	12428303	12444447	1	gray	ZNF563
chr2	102013820	102091574	1	gray	RFX8
chr19	12636186	12662296	1	gray	ZNF564
chr4	6695604	6698897	1	gray	S100P
chr19	36672961	36736830	1	gray	ZNF565
chr22	24407753	24574596	1	gray	CABIN1
chr22	18893832	18899601	1	gray	DGCR6
chr19	36936020	36980463	1	gray	ZNF566
chr3	42824399	42846027	1	gray	HIGD1A
chr19	37178513	37214248	1	gray	ZNF567
chr17	42923696	42927842	1	gray	HIGD1B
chr22	20067754	20099401	1	gray	DGCR8
chr21	31653626	31655268	1	gray	KRTAP24-1
chr19	37407230	37488834	1	gray	ZNF568
chr17	78518637	78940168	1	gray	RPTOR
chr12	51346326	51364483	1	gray	HIGD1C
chr19	37902059	37958346	1	gray	ZNF569
chr14	36007561	36278501	1	gray	RALGAPA1
chr14	20248481	20249423	1	gray	OR4M1
chr8	27168994	27316908	1	gray	PTK2B
chr20	20370173	20693287	1	gray	RALGAPA2
chr15	22368477	22369561	1	gray	OR4M2
chr7	87462882	87505675	1	gray	SLC25A40
chr19	6426047	6433774	1	gray	SLC25A41
chr2	85198283	85286595	1	gray	KCMF1
chr19	19174802	19223839	1	gray	SLC25A42
chrX	118533298	118588437	1	gray	SLC25A43
chr19	30302897	30315219	1	gray	CCNE1
chr17	8128132	8151374	1	gray	CTC1
chr12	132379166	132407695	1	gray	ULK1
chr5	76145838	76217475	1	gray	S100Z
chr1	156163894	156182587	1	gray	SLC25A44
chr20	416123	443177	1	gray	TBC1D20
chr17	19674142	19771249	1	gray	ULK2
chr16	15737238	15820208	1	gray	NDE1
chr11	65142662	65151172	1	gray	SLC25A45
chr8	95892452	95907482	1	gray	CCNE2
chr4	9446259	9452240	1	gray	DEFB131A
chr1	171750799	171766856	1	gray	EEF1AKNMT
chrX	65815481	65859140	1	gray	EDA2R
chr22	19163093	19166249	1	gray	SLC25A1
chr15	75128458	75135497	1	gray	ULK3
chr15	74165904	74181555	1	gray	TBC1D21
chr11	71589498	71595607	1	gray	DEFB131B
chr5	110073845	110100856	1	gray	SLC25A46
chr14	100789675	100796758	1	gray	SLC25A47
chr11	695638	705028	1	gray	TMEM80
chr5	140682201	140683616	1	gray	SLC25A2
chr3	41288089	42003595	1	gray	ULK4
chr12	98987402	99000144	1	gray	SLC25A3
chr6	4523653	33297056	1	gray	SMIM40
chr5	134914854	135224326	1	gray	SLC25A48
chr5	89854613	90460254	1	gray	ADGRV1
chr3	99979835	100044080	1	gray	TBC1D23
chr1	205052256	205053588	1	gray	TMEM81
chr16	2525127	2555729	1	gray	TBC1D24
chr14	57735688	57765460	1	gray	AP5M1
chr12	52473487	52502039	1	gray	SMIM41
chr4	186064419	186071536	1	gray	SLC25A4
chr1	21543742	21671997	1	gray	ECE1
chr1	16068993	16074477	1	gray	TMEM82
chrX	118602406	118605359	1	gray	SLC25A5
chrX	48398006	48420997	1	gray	TBC1D25
chr3	183993809	184010819	1	gray	ECE2
chrY	1455044	1511006	1	gray	SLC25A6
chr17	15635590	15648098	1	gray	TBC1D26
chr4	122680084	122686319	1	gray	SMIM43
chr17	18538841	18547740	1	gray	TBC1D28
chr1	171588902	171596028	1	gray	MYOCOS
chr14	93799527	94174222	1	gray	UNC79
chr6	7281375	7313432	1	gray	SSR1
chr17	7758383	7759417	1	gray	TMEM88
chr1	155978838	155990742	1	gray	SSR2
chr9	130882971	130890741	1	gray	PTGES2
chr3	156257341	156272989	1	gray	SSR3
chr3	48658191	48659202	1	gray	TMEM89
chr1	168545842	168551307	1	gray	XCL1
chrX	153059613	153063967	1	gray	SSR4
chr19	45010210	45033698	1	gray	CEACAM20
chr12	57057124	57082192	1	gray	PTGES3
chr1	168510005	168513235	1	gray	XCL2
chr19	42055885	42093197	1	gray	CEACAM21
chr8	57353515	57359200	1	gray	PENK
chr19	36359346	36370699	1	gray	APLP1
chr17	40852292	40897058	1	gray	EZH1
chr19	51515994	51523431	1	gray	KLK10
chr11	129939788	130014706	1	gray	APLP2
chr7	148504474	148581383	1	gray	EZH2
chr1	44115819	44171189	1	gray	KDM4A
chrX	73952690	74145287	1	gray	NEXMIF
chr19	51525491	51531247	1	gray	KLK11
chr19	4969123	5153608	1	gray	KDM4B
chr17	80572437	80606320	1	gray	WDR45B
chr11	46698630	46722169	1	gray	ARHGAP1
chr11	6518509	6593250	1	gray	DNHD1
chr11	314039	315272	1	gray	IFITM1
chr19	51532349	51538258	1	gray	KLK12
chr11	308106	309410	1	gray	IFITM2
chr9	6720862	7175648	1	gray	KDM4C
chr19	51558882	51568349	1	gray	KLK13
chr19	11485341	11486845	1	gray	SWSAP1
chr15	78287326	78370053	1	gray	TBC1D2B
chr11	94706872	94732683	1	gray	KDM4D
chr11	319675	320860	1	gray	IFITM3
chrX	153172831	153191718	1	gray	ARHGAP4
chr19	51580750	51587467	1	gray	KLK14
chr11	94758421	94760760	1	gray	KDM4E
chr7	73624335	73644164	1	gray	LAT2
chr19	51328544	51334779	1	gray	KLK15
chr16	67596428	67673088	1	gray	CTCF
chr14	32546509	32628934	1	gray	ARHGAP5
chr11	298200	299526	1	gray	IFITM5
chr9	77595705	77643209	1	gray	CARNMT1
chr9	35829221	35865512	1	gray	TMEM8B
chrX	11155664	11684040	1	gray	ARHGAP6
chr16	2227180	2246606	1	gray	CASKIN1
chr17	73496341	73511618	1	gray	CASKIN2
chr11	57885971	57886916	1	gray	OR9I1
chr2	152973314	153032277	1	gray	STAM2
chr22	45148437	45258664	1	gray	ARHGAP8
chr5	148651400	148723198	1	gray	AFAP1L1
chr12	57866051	57882607	1	gray	ARHGAP9
chr10	116054582	116164537	1	gray	AFAP1L2
chr1	165513236	165533194	1	gray	LRRC52
chr9	101867394	101916473	1	gray	TGFBR1
chr1	74935059	74978295	1	gray	LRRC53
chr1	165171103	165325952	1	gray	LMX1A
chr9	129376206	129463311	1	gray	LMX1B
chr3	172348038	172428857	1	gray	NCEH1
chr3	30647993	30735633	1	gray	TGFBR2
chr19	30189792	30206696	1	gray	C19orf12
chr11	56949426	56959190	1	gray	LRRC55
chr1	92145899	92371559	1	gray	TGFBR3
chr1	25943281	26110940	1	gray	MAN1C1
chr11	537526	554912	1	gray	LRRC56
chr9	133971862	133998539	1	gray	AIF1L
chr15	42830026	42840991	1	gray	LRRC57
chr8	27879480	27941453	1	gray	NUGGC
chr10	47083456	47088320	1	gray	NPY4R
chr3	120043355	120068201	1	gray	LRRC58
chr17	48458598	48474884	1	gray	LRRC59
chr20	37230451	37279296	1	gray	ARHGAP40
chr19	58469804	58485902	1	gray	C19orf18
chr17	42282408	42298250	1	gray	UBTF
chr11	100558018	100864672	1	gray	ARHGAP42
chr11	45907201	45928016	1	gray	MAPK8IP1
chr6	149979288	150039392	1	gray	LATS1
chr1	201452657	201476251	1	gray	CSRP1
chr22	51039221	51052404	1	gray	MAPK8IP2
chr13	21547175	21635725	1	gray	LATS2
chr12	77252488	77272799	1	gray	CSRP2
chr10	120057436	120101836	1	gray	FAM204A
chr7	65338060	65424545	1	gray	VKORC1L1
chr17	12692814	12894960	1	gray	ARHGAP44
chr16	1756195	1820350	1	gray	MAPK8IP3
chr11	19203576	19223530	1	gray	CSRP3
chr19	1065957	1087830	1	gray	ARHGAP45
chr20	24449834	24647253	1	gray	SYNDIG1
chr4	71521257	71532225	1	gray	JCHAIN
chr19	5587009	5622787	1	gray	SAFB2
chr2	64068102	64118694	1	gray	UGP2
chr2	61167360	61245394	1	gray	PUS10
chr19	57874918	57876770	1	gray	TRAPPC2B
chr9	137967350	138013030	1	gray	OLFM1
chr19	9964393	10047191	1	gray	OLFM2
chr16	19713258	19729549	1	gray	KNOP1
chr1	102268115	102462790	1	gray	OLFM3
chr13	53602947	53626188	1	gray	OLFM4
chr14	78183943	78227499	1	gray	SNW1
chr14	77731833	77737655	1	gray	NGB
chr14	24734743	24740833	1	gray	RABGGTA
chr12	6058044	6233836	1	gray	VWF
chr1	205305188	205326218	1	gray	KLHDC8A
chr1	76251940	76260771	1	gray	RABGGTB
chrX	57931863	57936892	1	gray	ZXDA
chr14	52327329	52436513	1	gray	GNG2
chr3	49209030	49213919	1	gray	KLHDC8B
chr1	32083289	32093214	1	gray	HCRTR1
chrX	57618443	57623910	1	gray	ZXDB
chr19	37958673	37979554	1	gray	ZNF570
chr19	751111	764318	1	gray	MISP
chr11	62475147	62476673	1	gray	GNG3
chr6	54971266	55147413	1	gray	HCRTR2
chr19	38055154	38085693	1	gray	ZNF571
chr3	126156443	126194762	1	gray	ZXDC
chr1	235710984	235814054	1	gray	GNG4
chr1	115828537	115880870	1	gray	NGF
chr19	54368881	54379689	1	gray	MYADM
chr16	88923534	88929086	1	gray	TRAPPC2L
chr10	99195665	99205774	1	gray	EXOSC1
chr8	125985536	125991630	1	gray	ZNF572
chr1	229456761	229478794	1	gray	CCSAP
chr1	84964007	84972264	1	gray	GNG5
chrX	134555868	134562000	1	gray	SMIM10L2A
chr19	38229202	38270230	1	gray	ZNF573
chr15	90373830	90456184	1	gray	ARPIN-AP3S2
chr9	133569146	133580281	1	gray	EXOSC2
chrX	134229014	134232742	1	gray	SMIM10L2B
chr19	42572628	42585719	1	gray	ZNF574
chr19	2511216	2702692	1	gray	GNG7
chr17	47074746	47133507	1	gray	IGF2BP1
chr11	9595216	9611532	1	gray	WEE1
chr9	37779710	37785089	1	gray	EXOSC3
chr7	100026412	100031741	1	gray	MEPCE
chr19	47137332	47137939	1	gray	GNG8
chr19	44037339	44040239	1	gray	ZNF575
chr8	145133574	145135551	1	gray	EXOSC4
chr7	141408152	141431071	1	gray	WEE2
chr3	185360917	185542830	1	gray	IGF2BP2
chr19	44100543	44105309	1	gray	ZNF576
chr19	41892278	41903264	1	gray	EXOSC5
chr7	23349827	23510110	1	gray	IGF2BP3
chr5	175815751	175816762	1	gray	HIGD2A
chr19	52357234	52391229	1	gray	ZNF577
chr16	70280681	70285843	1	gray	EXOSC6
chr15	72968138	72978523	1	gray	HIGD2B
chr19	52956805	53020134	1	gray	ZNF578
chr15	91473409	91497323	1	gray	UNC45A
chr3	45017735	45052963	1	gray	EXOSC7
chr19	56088139	56092214	1	gray	ZNF579
chr17	33474835	33516364	1	gray	UNC45B
chr13	37574922	37583751	1	gray	EXOSC8
chr14	20271928	20298412	1	gray	OR4N2
chr4	122722477	122738176	1	gray	EXOSC9
chr9	37887600	37904124	1	gray	SLC25A51
chr18	29339548	29340843	1	gray	SLC25A52
chr15	22382381	22383815	1	gray	OR4N4
chrX	103343897	103401690	1	gray	SLC25A53
chr14	20611894	20612821	1	gray	OR4N5
chrX	106871653	106894256	1	gray	PRPS1
chr12	122516661	122631889	1	gray	MLXIP
chrX	12809473	12842346	1	gray	PRPS2
chr16	30003641	30007417	1	gray	HIRIP3
chr12	65153276	65274813	1	gray	TBC1D30
chr7	19155090	19157259	1	gray	TWIST1
chr2	210636555	210864024	1	gray	UNC80
chr8	124084946	124177413	1	gray	TBC1D31
chr8	37716135	37757015	1	gray	RAB11FIP1
chr2	239756725	239832230	1	gray	TWIST2
chr10	119764426	119806452	1	gray	RAB11FIP2
chr6	121400639	121655875	1	gray	TBC1D32
chr19	41869851	41889987	1	gray	TMEM91
chr17	76886660	76899283	1	gray	CEP295NL
chr17	45772629	45789429	1	gray	TBKBP1
chr16	475648	573011	1	gray	RAB11FIP3
chr17	48348766	48358846	1	gray	TMEM92
chr17	29718692	29865230	1	gray	RAB11FIP4
chr12	18233802	18243127	1	gray	RERGL
chr2	73300509	73340076	1	gray	RAB11FIP5
chr1	43212044	43232699	1	gray	P3H1
chr17	73452715	73496533	1	gray	TMEM94
chr14	23741630	23755341	1	gray	HOMEZ
chr9	75515586	75567969	1	gray	ALDH1A1
chr3	189674516	189840226	1	gray	P3H2
chr17	7258474	7260538	1	gray	TMEM95
chr15	58245621	58358121	1	gray	ALDH1A2
chr12	6937571	6949011	1	gray	P3H3
chr17	39958204	39968201	1	gray	P3H4
chr15	101420035	101456830	1	gray	ALDH1A3
chr17	26646225	26655711	1	gray	TMEM97
chr6	146920107	147136597	1	gray	ADGB
chr4	123372625	123377880	1	gray	IL2
chr2	73612885	73837046	1	gray	ALMS1
chr17	31254927	31271333	1	gray	TMEM98
chr5	131396347	131398897	1	gray	IL3
chr12	50184934	50222196	1	gray	NCKAP5L
chr6	1861097	30585020	1	gray	PPP1R10
chr5	132009677	132018370	1	gray	IL4
chr22	19134505	19137805	1	gray	GSC2
chr11	66610911	66614023	1	gray	RCE1
chr10	102106989	102124583	1	gray	SCD
chr6	1275205	30038108	1	gray	PPP1R11
chr5	131877136	131879214	1	gray	IL5
chr3	33131914	33138638	1	gray	TMPPE
chr7	22766818	22771617	1	gray	IL6
chr6	17600532	17611946	1	gray	FAM8A1
chr10	106013951	106027222	1	gray	GSTO1
chr8	79645006	79717758	1	gray	IL7
chr12	389222	498486	1	gray	KDM5A
chr10	106028630	106064708	1	gray	GSTO2
chr1	168664705	168698444	1	gray	DPT
chr5	135227934	135231530	1	gray	IL9
chr1	202693624	202778598	1	gray	KDM5B
chrX	53205458	53254604	1	gray	KDM5C
chr11	108535795	108811653	1	gray	DDX10
chrY	21865750	21906825	1	gray	KDM5D
chr17	34797171	34808092	1	gray	TBC1D3B
chr12	31226793	31257733	1	gray	DDX11
chr7	31726630	31748069	1	gray	PPP1R17
chr2	115200217	116603354	1	gray	DPP10
chr17	36283976	36348649	1	gray	TBC1D3C
chr6	1937098	30654984	1	gray	PPP1R18
chrX	53559056	53713664	1	gray	HUWE1
chr17	36284016	36348609	1	gray	TBC1D3D
chr11	8968747	8986558	1	gray	TMEM9B
chr17	36284018	36348607	1	gray	TBC1D3E
chr6	34204649	34214008	1	gray	HMGA1
chr17	34581084	36348621	1	gray	TBC1D3F
chr12	66218239	66360071	1	gray	HMGA2
chr17	34581084	36348609	1	gray	TBC1D3G
chr6	125474918	125585552	1	gray	TPD52L1
chr22	38879442	38902316	1	gray	DDX17
chr20	62496580	62522898	1	gray	TPD52L2
chr17	34581028	36348623	1	gray	TBC1D3H
chr17	36284016	36348609	1	gray	TBC1D3I
chr9	6328374	6331891	1	gray	TPD52L3
chr7	150006587	150035245	1	gray	LRRC61
chr2	118572266	118589953	1	gray	DDX18
chr17	36337714	36345483	1	gray	TBC1D3J
chr17	36284016	36348609	1	gray	TBC1D3K
chr13	46786062	46851250	1	gray	LRRC63
chr17	34581084	36348621	1	gray	TBC1D3L
chr12	54973029	54982443	1	gray	PPP1R1A
chr11	626308	627181	1	gray	SCT
chr17	37783204	37792877	1	gray	PPP1R1B
chr4	52859817	52886529	1	gray	LRRC66
chr2	182850550	182996111	1	gray	PPP1R1C
chr16	3072620	3074287	1	gray	HCFC1R1
chr1	151132223	151138378	1	gray	LYSMD1
chr19	1473199	1479214	1	gray	C19orf25
chr15	52015207	52043650	1	gray	LYSMD2
chr8	145321355	145492469	1	gray	SCX
chr4	164264998	164273086	1	gray	NPY5R
chr8	92114846	92231482	1	gray	LRRC69
chr5	89811444	89825401	1	gray	LYSMD3
chr2	102972255	103015236	1	gray	IL18R1
chr17	79993733	79995573	1	gray	DCXR
chr17	62473901	62493172	1	gray	POLG2
chr15	100267605	100273649	1	gray	LYSMD4
chr11	6624937	6632105	1	gray	ILK
chr14	77893017	77923944	1	gray	VIPAS39
chr9	34723049	34729485	1	gray	FAM205A
chr3	126200008	126236616	1	gray	UROC1
chr9	34889063	34895761	1	gray	FAM205C
chr11	65554533	65564685	1	gray	OVOL1
chr6	70924763	71012787	1	gray	COL9A1
chr20	18004795	18039832	1	gray	OVOL2
chr1	40766160	40782958	1	gray	COL9A2
chr20	61448401	61472511	1	gray	COL9A3
chr19	36602104	36604613	1	gray	OVOL3
chr3	69788614	70017483	1	gray	MITF
chr11	47290738	47351582	1	gray	MADD
chr12	25358179	25403863	1	gray	KRAS
chr11	65784222	65793950	1	gray	CATSPER1
chr15	43920700	43941082	1	gray	CATSPER2
chr15	64388180	64436428	1	gray	SNX1
chr5	134303596	134347386	1	gray	CATSPER3
chr5	122110690	122170236	1	gray	SNX2
chr1	26517092	26529455	1	gray	CATSPER4
chr6	108532426	108582244	1	gray	SNX3
chr3	125165493	125239046	1	gray	SNX4
chr20	17922243	17949437	1	gray	SNX5
chr19	56152367	56154836	1	gray	ZNF580
