chr_name	start	end	delta_methylation
chr10	95195007	95195491	-0.92
chr10	128574502	128574874	-0.92
chr2	12646019	12646498	-0.92
chr2	50200506	50200885	-0.92
chr2	61391026	61391476	-0.92
chr2	67661121	67661896	-0.92
chr2	71871014	71871412	-0.92
chr2	74083001	74083200	-0.92
chr2	117437549	117437967	-0.92
chr2	117907061	117907243	-0.92
chr2	161549531	161549976	-0.92
chr2	176370562	176370879	-0.92
chr4	234781317	234781497	-0.92
chr5	181642039	181642498	-0.92
chr5	185367513	185367998	-0.92
chr5	214083017	214083482	-0.92
chr7	19869016	19869459	-0.92
chr8	90126501	90126986	-0.92
chr1	71251555	71251994	-0.91
chr1	72898637	72899994	-0.91
chr1	104992002	104992380	-0.91
chr1	113245016	113245226	-0.91
chr1	119353188	119353499	-0.91
chr1	126725554	126725984	-0.91
chr1	160030004	160030484	-0.91
chr1	162886011	162886494	-0.91
chr1	197891636	197891982	-0.91
chr10	24270015	24270465	-0.91
chr10	28491510	28491998	-0.91
chr10	42007600	42007985	-0.91
chr10	65227002	65227224	-0.91
chr10	65732046	65732484	-0.91
chr10	69404001	69404500	-0.91
chr10	80139524	80140306	-0.91
chr10	83686502	83686990	-0.91
chr10	83984050	83984240	-0.91
chr10	90423103	90423996	-0.91
chr10	95463526	95463998	-0.91
chr10	96567019	96567494	-0.91
chr10	116258010	116258390	-0.91
chr10	119206020	119206326	-0.91
chr10	126533522	126533917	-0.91
chr10	135330543	135331485	-0.91
chr10	136053001	136053498	-0.91
chr10	137212019	137212467	-0.91
chr10	138628003	138628494	-0.91
chr10	138875007	138875493	-0.91
chr2	10336010	10336498	-0.91
chr2	63641511	63642500	-0.91
chr2	69933024	69933427	-0.91
chr2	87778533	87779446	-0.91
chr2	132334518	132334995	-0.91
chr2	140448024	140448471	-0.91
chr2	141607509	141607953	-0.91
chr2	173443082	173443494	-0.91
chr3	156983544	156983929	-0.91
chr3	160566012	160568960	-0.91
chr5	197528747	197528994	-0.91
chr5	201448002	201448500	-0.91
chr5	214604584	214604972	-0.91
chr6	165813531	165813929	-0.91
chr7	12373003	12373488	-0.91
chr7	18532012	18532451	-0.91
chr7	18608146	18608440	-0.91
chr7	18870104	18870470	-0.91
chr7	20856070	20856366	-0.91
chr7	22369027	22369455	-0.91
chr7	26971517	26972500	-0.91
chr1	102967505	102967982	-0.9
chr1	112722014	112722480	-0.9
chr1	114449501	114449990	-0.9
chr1	115163506	115163875	-0.9
chr1	146399006	146399331	-0.9
chr1	149114622	149114982	-0.9
chr1	163539512	163539987	-0.9
chr1	166751020	166751499	-0.9
chr1	169631055	169631498	-0.9
chr1	199005553	199006000	-0.9
chr1	203343505	203343942	-0.9
chr1	220307583	220307954	-0.9
chr10	24063501	24063981	-0.9
chr10	32079523	32079993	-0.9
chr10	37604025	37604990	-0.9
chr10	80842001	80842500	-0.9
chr10	85645509	85646627	-0.9
chr10	95415047	95415493	-0.9
chr10	98131005	98131483	-0.9
chr10	113770003	113770356	-0.9
chr10	117605801	117605988	-0.9
chr10	120219580	120219979	-0.9
chr10	121998044	121998404	-0.9
chr2	30202175	30202461	-0.9
chr2	44320508	44320986	-0.9
chr2	52722513	52722955	-0.9
chr2	70029010	70029486	-0.9
chr2	81380006	81380975	-0.9
chr2	101092537	101092984	-0.9
chr2	104150514	104150815	-0.9
chr2	117423104	117423500	-0.9
chr2	142524029	142524938	-0.9
chr2	150925582	150925957	-0.9
chr2	178801062	178801486	-0.9
chr2	183078076	183078479	-0.9
chr3	151905342	151905496	-0.9
chr4	232255050	232255178	-0.9
chr5	189244546	189245496	-0.9
chr7	6595537	6595988	-0.9
chr7	12454170	12454492	-0.9
chr7	12455024	12455472	-0.9
chr7	27575001	27575489	-0.9
chr7	179364019	179364458	-0.9
chr8	81773053	81773382	-0.9
chr1	83554516	83555489	-0.89
chr1	88438501	88438799	-0.89
chr1	95749623	95749990	-0.89
chr1	99678002	99678353	-0.89
chr1	115320738	115321490	-0.89
chr1	124215554	124216216	-0.89
chr1	143487575	143487998	-0.89
chr1	146024086	146024402	-0.89
chr1	148657605	148657972	-0.89
chr1	150118597	150118982	-0.89
chr1	157028501	157028997	-0.89
chr1	168931229	168931489	-0.89
chr1	213635004	213635499	-0.89
chr10	15391002	15391494	-0.89
chr10	19305592	19306120	-0.89
chr10	26931008	26931485	-0.89
chr10	50394509	50394975	-0.89
chr10	50512033	50513408	-0.89
chr10	55545526	55545989	-0.89
chr10	72670024	72670491	-0.89
chr10	74757014	74757377	-0.89
chr10	83533502	83535961	-0.89
chr10	134535018	134535476	-0.89
chr10	146257006	146257186	-0.89
chr2	70152008	70152495	-0.89
chr2	70260284	70260993	-0.89
chr2	70463530	70464000	-0.89
chr2	98238503	98239494	-0.89
chr2	116599824	116600468	-0.89
chr2	120611015	120611493	-0.89
chr2	141233090	141233472	-0.89
chr2	147772171	147772500	-0.89
chr2	148562534	148562974	-0.89
chr2	154701001	154701496	-0.89
chr2	161362101	161362956	-0.89
chr5	181563070	181563492	-0.89
chr5	187579001	187579499	-0.89
chr7	19829602	19830473	-0.89
chr7	179475088	179475453	-0.89
chr1	71333003	71333422	-0.88
chr1	85393513	85393926	-0.88
chr1	93741536	93742497	-0.88
chr1	100171501	100172990	-0.88
chr1	107221739	107222493	-0.88
chr1	109940007	109940413	-0.88
chr1	159704001	159704947	-0.88
chr10	14159036	14160000	-0.88
chr10	19602020	19602488	-0.88
chr10	58744501	58744979	-0.88
chr10	66205001	66205409	-0.88
chr10	72473033	72473476	-0.88
chr10	76133003	76133469	-0.88
chr10	81464016	81465988	-0.88
chr10	85875020	85875445	-0.88
chr10	93940006	93940981	-0.88
chr10	96021001	96021918	-0.88
chr10	99919008	99919487	-0.88
chr10	107935535	107935992	-0.88
chr10	114663119	114663457	-0.88
chr10	125387008	125387499	-0.88
chr2	14039040	14039469	-0.88
chr2	59834013	59834497	-0.88
chr2	75051003	75051441	-0.88
chr2	84983007	84983923	-0.88
chr2	99875045	99875954	-0.88
chr2	109810508	109810975	-0.88
chr2	113979021	113979999	-0.88
chr2	114396506	114396997	-0.88
chr2	114899540	114900493	-0.88
chr2	123132501	123133375	-0.88
chr2	149437007	149437500	-0.88
chr2	150349160	150350376	-0.88
chr2	159230513	159230996	-0.88
chr2	168501070	168501498	-0.88
chr2	177640506	177640911	-0.88
chr2	179166082	179166490	-0.88
chr2	240874151	240874500	-0.88
chr2	242908071	242908962	-0.88
chr3	162853036	162853990	-0.88
chr5	2543010	2543368	-0.88
chr5	2671085	2671401	-0.88
chr5	193888006	193888491	-0.88
chr7	15995502	15996000	-0.88
chr7	181123024	181123430	-0.88
chr8	91854035	91854500	-0.88
chr1	72880516	72880969	-0.87
chr1	73454634	73455000	-0.87
chr1	92967002	92967389	-0.87
chr1	110191529	110192479	-0.87
chr1	113270011	113270487	-0.87
chr1	124497503	124498497	-0.87
chr1	149124509	149124968	-0.87
chr1	159637012	159638000	-0.87
chr1	176154045	176154421	-0.87
chr1	218696502	218696912	-0.87
chr1	222021504	222022399	-0.87
chr10	11884037	11884988	-0.87
chr10	15382006	15382469	-0.87
chr10	15395027	15395453	-0.87
chr10	35029505	35030000	-0.87
chr10	48102002	48102496	-0.87
chr10	51235017	51235394	-0.87
chr10	51318050	51318497	-0.87
chr10	51537538	51538488	-0.87
chr10	55571509	55571999	-0.87
chr10	73628692	73629845	-0.87
chr10	73919517	73920487	-0.87
chr10	99569519	99569994	-0.87
chr10	116047501	116048492	-0.87
chr10	133789115	133789500	-0.87
chr2	16070512	16070997	-0.87
chr2	18468566	18468887	-0.87
chr2	26000504	26000988	-0.87
chr2	33111018	33111482	-0.87
chr2	57292050	57292408	-0.87
chr2	57603206	57603988	-0.87
chr2	69808133	69808989	-0.87
chr2	99680504	99680997	-0.87
chr2	110640540	110641984	-0.87
chr2	113821013	113821487	-0.87
chr2	122415760	122416444	-0.87
chr2	128971600	128972497	-0.87
chr2	156040058	156040395	-0.87
chr2	156702514	156702985	-0.87
chr2	169676540	169676999	-0.87
chr2	172225514	172226939	-0.87
chr2	172640513	172640995	-0.87
chr2	177216510	177216999	-0.87
chr4	234782005	234782500	-0.87
chr6	165887029	165887497	-0.87
chr7	15915072	15915429	-0.87
chr7	16044501	16044969	-0.87
chr7	181506633	181506954	-0.87
chr1	112720511	112721491	-0.86
chr1	117533246	117533997	-0.86
chr1	117781006	117781483	-0.86
chr1	150128587	150128928	-0.86
chr1	157350114	157351000	-0.86
chr1	160088536	160091492	-0.86
chr1	163695520	163695965	-0.86
chr1	166067501	166067988	-0.86
chr1	190074054	190074999	-0.86
chr1	207472508	207473411	-0.86
chr10	22053058	22053495	-0.86
chr10	22238043	22238309	-0.86
chr10	28477033	28477495	-0.86
chr10	30959741	30960407	-0.86
chr10	35078017	35078464	-0.86
chr10	39793507	39794491	-0.86
chr10	45548720	45548993	-0.86
chr10	79576011	79576499	-0.86
chr10	92911539	92913000	-0.86
chr10	103227516	103228484	-0.86
chr10	103646032	103647176	-0.86
chr10	111791064	111791497	-0.86
chr10	122294505	122295486	-0.86
chr10	129471046	129471701	-0.86
chr10	131399518	131399997	-0.86
chr10	136021510	136021989	-0.86
chr2	9799041	9800500	-0.86
chr2	10971504	10972451	-0.86
chr2	11132111	11132947	-0.86
chr2	11556005	11556447	-0.86
chr2	12563565	12563998	-0.86
chr2	29362522	29362948	-0.86
chr2	37326580	37327499	-0.86
chr2	48660511	48660984	-0.86
chr2	69810012	69810346	-0.86
chr2	78357530	78357901	-0.86
chr2	94675501	94676369	-0.86
chr2	98555004	98555500	-0.86
chr2	122785001	122785992	-0.86
chr2	124183501	124183986	-0.86
chr2	156420519	156420925	-0.86
chr2	172156095	172156413	-0.86
chr5	1178143	1178454	-0.86
chr5	2012558	2012907	-0.86
chr5	194294503	194294991	-0.86
chr5	198050502	198050997	-0.86
chr6	163758007	163758457	-0.86
chr7	13070501	13070998	-0.86
chr7	18122660	18122998	-0.86
chr7	18371061	18371404	-0.86
chr7	24194522	24195000	-0.86
chr7	67765512	67766000	-0.86
chr1	71413092	71413412	-0.85
chr1	73480033	73480480	-0.85
chr1	93276501	93277486	-0.85
chr1	118270527	118270990	-0.85
chr1	118454132	118454482	-0.85
chr1	146969004	146969996	-0.85
chr1	148442504	148444000	-0.85
chr1	150626012	150626499	-0.85
chr1	157113501	157114997	-0.85
chr1	164778009	164778390	-0.85
chr1	201466501	201466996	-0.85
chr1	205674026	205675441	-0.85
chr10	11664040	11664456	-0.85
chr10	41200528	41201000	-0.85
chr10	42017505	42017983	-0.85
chr10	45578042	45578996	-0.85
chr10	56674696	56674991	-0.85
chr10	67891022	67891491	-0.85
chr10	68353589	68354998	-0.85
chr10	79997034	79997492	-0.85
chr10	113704515	113705457	-0.85
chr10	117396016	117396494	-0.85
chr10	119216583	119216993	-0.85
chr10	120198006	120198478	-0.85
chr10	138051506	138051922	-0.85
chr10	140510136	140510498	-0.85
chr2	48650606	48652433	-0.85
chr2	59835006	59835977	-0.85
chr2	61473513	61475000	-0.85
chr2	106839037	106839494	-0.85
chr2	120675242	120675439	-0.85
chr2	128126221	128126457	-0.85
chr2	147109004	147109500	-0.85
chr2	176390050	176390991	-0.85
chr2	241288185	241289000	-0.85
chr5	180477522	180477949	-0.85
chr5	213691553	213691920	-0.85
chr6	162754503	162755252	-0.85
chr7	11812001	11812983	-0.85
chr8	78414027	78414996	-0.85
chr1	86133538	86134280	-0.84
chr1	88243572	88244899	-0.84
chr1	96114007	96115236	-0.84
chr1	115310532	115311500	-0.84
chr1	127254314	127256500	-0.84
chr1	129362504	129362990	-0.84
chr1	155230032	155230500	-0.84
chr1	163590005	163590481	-0.84
chr1	167713001	167713465	-0.84
chr1	170292008	170292491	-0.84
chr1	170430025	170431422	-0.84
chr1	201355515	201355859	-0.84
chr1	204391503	204391961	-0.84
chr10	23659525	23659981	-0.84
chr10	34764022	34764495	-0.84
chr10	38420501	38420943	-0.84
chr10	38460575	38460993	-0.84
chr10	40762055	40762485	-0.84
chr10	44051001	44052474	-0.84
chr10	46062145	46063448	-0.84
chr10	52237017	52237716	-0.84
chr10	66113038	66113496	-0.84
chr10	96662504	96662985	-0.84
chr10	123460019	123460408	-0.84
chr2	14464071	14464307	-0.84
chr2	29172503	29172895	-0.84
chr2	30705384	30705467	-0.84
chr2	49071546	49071895	-0.84
chr2	57702628	57703903	-0.84
chr2	58055501	58056487	-0.84
chr2	65200642	65200995	-0.84
chr2	70185556	70186460	-0.84
chr2	71836059	71836971	-0.84
chr2	99190522	99190980	-0.84
chr2	105679501	105679983	-0.84
chr2	106387243	106387484	-0.84
chr2	111233507	111234449	-0.84
chr2	128052012	128052949	-0.84
chr2	133842503	133843494	-0.84
chr2	134103007	134103999	-0.84
chr2	147118004	147118462	-0.84
chr2	160678726	160678989	-0.84
chr2	172214509	172215488	-0.84
chr3	163978072	163978492	-0.84
chr4	231020010	231020993	-0.84
chr5	181430616	181430997	-0.84
chr5	191222535	191222981	-0.84
chr7	16042503	16043974	-0.84
chr7	16073543	16074500	-0.84
chr7	18620048	18620450	-0.84
chr7	25774501	25774998	-0.84
chr8	93881536	93882491	-0.84
chr1	89014522	89014998	-0.83
chr1	96474521	96474981	-0.83
chr1	116757009	116757268	-0.83
chr1	140267576	140268954	-0.83
chr1	142829508	142830890	-0.83
chr1	143486515	143486999	-0.83
chr1	213750524	213751494	-0.83
chr10	15729116	15729495	-0.83
chr10	19266528	19267476	-0.83
chr10	24752079	24752494	-0.83
chr10	52172026	52173000	-0.83
chr10	56516555	56517834	-0.83
chr10	62094003	62094485	-0.83
chr10	65901502	65901999	-0.83
chr10	82955501	82955996	-0.83
chr10	83370701	83370993	-0.83
chr10	98125074	98125489	-0.83
chr10	101684156	101684994	-0.83
chr10	114460555	114460995	-0.83
chr2	12838008	12838494	-0.83
chr2	73281658	73281985	-0.83
chr2	79636007	79636485	-0.83
chr2	86116008	86116499	-0.83
chr2	98564531	98564958	-0.83
chr2	99203004	99203466	-0.83
chr2	104971523	104972490	-0.83
chr2	105553061	105553490	-0.83
chr2	106916503	106917358	-0.83
chr2	109311570	109311992	-0.83
chr2	111806032	111807156	-0.83
chr2	112681501	112682623	-0.83
chr2	117905010	117905482	-0.83
chr2	138391100	138391498	-0.83
chr2	141231650	141232443	-0.83
chr2	147433530	147433996	-0.83
chr2	160729703	160730464	-0.83
chr2	164566055	164566497	-0.83
chr2	173764213	173764450	-0.83
chr2	175327114	175327494	-0.83
chr2	243310527	243312375	-0.83
chr3	161626541	161626957	-0.83
chr3	167273015	167273489	-0.83
chr5	2274573	2275481	-0.83
chr7	9883014	9883340	-0.83
chr7	16071619	16071968	-0.83
chr7	18840021	18841491	-0.83
chr8	77927001	77927469	-0.83
chr8	79677083	79677458	-0.83
chr8	88275506	88276464	-0.83
chr1	88481624	88481928	-0.82
chr1	100057242	100057971	-0.82
chr1	105699023	105699478	-0.82
chr1	124798016	124798456	-0.82
chr1	126736041	126736499	-0.82
chr1	149520600	149520926	-0.82
chr1	149546505	149547000	-0.82
chr1	164972547	164972992	-0.82
chr1	170681055	170681495	-0.82
chr1	197057012	197057449	-0.82
chr1	204392504	204392947	-0.82
chr1	206078554	206078961	-0.82
chr10	10494520	10494954	-0.82
chr10	14677533	14677777	-0.82
chr10	16067503	16067995	-0.82
chr10	19382510	19382982	-0.82
chr10	24950005	24950910	-0.82
chr10	34102003	34102281	-0.82
chr10	36793006	36793496	-0.82
chr10	53306504	53307000	-0.82
chr10	53542512	53543492	-0.82
chr10	130023524	130023991	-0.82
chr2	13433517	13433962	-0.82
chr2	18625042	18625482	-0.82
chr2	49075532	49075961	-0.82
chr2	79994002	79994488	-0.82
chr2	80113002	80113992	-0.82
chr2	88942523	88942987	-0.82
chr2	94282520	94283496	-0.82
chr2	97296543	97296982	-0.82
chr2	117703665	117704997	-0.82
chr2	145131004	145131432	-0.82
chr2	167831020	167832468	-0.82
chr2	169726508	169728000	-0.82
chr2	177364029	177365387	-0.82
chr3	156233502	156234787	-0.82
chr3	156351530	156352221	-0.82
chr5	166528543	166528922	-0.82
chr5	189097519	189097953	-0.82
chr5	191240019	191240443	-0.82
chr5	197529515	197529965	-0.82
chr5	215005007	215005840	-0.82
chr7	18167574	18167974	-0.82
chr7	28129054	28129933	-0.82
chr1	102354503	102354944	-0.81
chr1	114475512	114475963	-0.81
chr1	115098515	115099498	-0.81
chr1	115312106	115312963	-0.81
chr1	143508636	143509496	-0.81
chr1	151634523	151635494	-0.81
chr1	165170074	165170484	-0.81
chr1	198649018	198649435	-0.81
chr1	199802508	199803330	-0.81
chr1	200427009	200427467	-0.81
chr1	204744506	204744791	-0.81
chr1	204947533	204947988	-0.81
chr10	14720073	14720493	-0.81
chr10	21377002	21377984	-0.81
chr10	32398001	32398986	-0.81
chr10	36509013	36509997	-0.81
chr10	41240501	41241482	-0.81
chr10	53013567	53014954	-0.81
chr10	54800021	54800950	-0.81
chr10	87316160	87316367	-0.81
chr10	88740512	88740973	-0.81
chr10	100073060	100073441	-0.81
chr10	135745116	135745439	-0.81
chr2	11651656	11652377	-0.81
chr2	13309521	13309989	-0.81
chr2	33154075	33154409	-0.81
chr2	71161001	71161449	-0.81
chr2	71579001	71579462	-0.81
chr2	76068037	76068994	-0.81
chr2	87863015	87863492	-0.81
chr2	106199636	106199963	-0.81
chr2	122967004	122967975	-0.81
chr2	132542123	132543000	-0.81
chr2	142691209	142691997	-0.81
chr2	149588056	149588472	-0.81
chr2	170241001	170241977	-0.81
chr2	171243506	171243838	-0.81
chr2	174639141	174639500	-0.81
chr2	183136028	183136435	-0.81
chr3	161957557	161958490	-0.81
chr5	975508	976499	-0.81
chr5	194446558	194446963	-0.81
chr5	217124664	217124995	-0.81
chr6	160495063	160495485	-0.81
chr7	7082525	7082993	-0.81
chr7	18646526	18646996	-0.81
chr7	21637501	21637993	-0.81
chr7	180080008	180080463	-0.81
chr1	69513003	69513500	-0.8
chr1	89486004	89486472	-0.8
chr1	117984018	117984985	-0.8
chr1	131396501	131397493	-0.8
chr1	149110016	149110979	-0.8
chr1	150276014	150276481	-0.8
chr1	163435504	163435910	-0.8
chr1	168006006	168006352	-0.8
chr1	199189033	199189987	-0.8
chr1	205456035	205457000	-0.8
chr1	208201536	208202486	-0.8
chr1	210150016	210150919	-0.8
chr1	216212513	216212983	-0.8
chr1	295712516	295713000	-0.8
chr10	11676065	11676933	-0.8
chr10	12423051	12423940	-0.8
chr10	23997004	23997484	-0.8
chr10	31504002	31504960	-0.8
chr10	51688518	51688999	-0.8
chr10	54268016	54269386	-0.8
chr10	63210504	63211933	-0.8
chr10	72765502	72765988	-0.8
chr10	82550080	82550950	-0.8
chr10	102405022	102406495	-0.8
chr10	114744512	114744965	-0.8
chr10	115499501	115499979	-0.8
chr10	119735507	119736456	-0.8
chr10	136314008	136314469	-0.8
chr10	137085124	137085497	-0.8
chr10	139364503	139364960	-0.8
chr2	11428507	11428998	-0.8
chr2	25972501	25973983	-0.8
chr2	43903511	43904285	-0.8
chr2	44831113	44831479	-0.8
chr2	47850031	47850493	-0.8
chr2	49521575	49521964	-0.8
chr2	51341019	51341490	-0.8
chr2	58569059	58569391	-0.8
chr2	70162012	70162486	-0.8
chr2	79716503	79716985	-0.8
chr2	80244756	80245474	-0.8
chr2	103293109	103293500	-0.8
chr2	123265501	123265989	-0.8
chr2	139519504	139520000	-0.8
chr2	141982635	141983867	-0.8
chr2	148253521	148253926	-0.8
chr2	167217149	167217472	-0.8
chr2	171256093	171256471	-0.8
chr2	176373538	176375991	-0.8
chr2	177661062	177661425	-0.8
chr2	182777042	182777456	-0.8
chr3	154796034	154796497	-0.8
chr3	175084507	175084992	-0.8
chr5	179233534	179233973	-0.8
chr5	187814020	187814284	-0.8
chr5	201914072	201914494	-0.8
chr6	164890029	164890450	-0.8
chr7	180899554	180899979	-0.8
chr1	1970096	1970480	-0.79
chr1	84163026	84163482	-0.79
chr1	84304508	84304995	-0.79
chr1	124490026	124490478	-0.79
chr1	142530052	142531450	-0.79
chr1	144171002	144171480	-0.79
chr1	174993039	174993488	-0.79
chr1	194572569	194573379	-0.79
chr1	200866009	200866333	-0.79
chr1	205072738	205073493	-0.79
chr10	19776518	19777000	-0.79
chr10	39809726	39809884	-0.79
chr10	50771633	50772500	-0.79
chr10	81463005	81463499	-0.79
chr10	88244545	88244861	-0.79
chr10	116152502	116152914	-0.79
chr10	123978519	123979491	-0.79
chr10	125790552	125791866	-0.79
chr2	32361507	32361997	-0.79
chr2	42782523	42782979	-0.79
chr2	51540714	51540974	-0.79
chr2	55891015	55891498	-0.79
chr2	59861001	59861489	-0.79
chr2	62809506	62809995	-0.79
chr2	71826657	71826984	-0.79
chr2	87820037	87820946	-0.79
chr2	126281501	126281983	-0.79
chr2	139687008	139687472	-0.79
chr2	144029567	144030437	-0.79
chr2	147400008	147400496	-0.79
chr2	149947012	149947488	-0.79
chr2	162142507	162143498	-0.79
chr2	165857526	165858473	-0.79
chr2	241491504	241491731	-0.79
chr3	164181068	164181500	-0.79
chr3	218800152	218800485	-0.79
chr4	234312188	234312974	-0.79
chr5	194914004	194914500	-0.79
chr7	7997036	7997496	-0.79
chr7	179645548	179646958	-0.79
chr7	181378501	181378942	-0.79
chr1	2483056	2483498	-0.78
chr1	87677506	87678493	-0.78
chr1	100081039	100082452	-0.78
chr1	126300755	126301950	-0.78
chr1	141863015	141863480	-0.78
chr1	152112001	152112434	-0.78
chr1	163717041	163717398	-0.78
chr1	170544099	170544489	-0.78
chr1	201187528	201187933	-0.78
chr1	221943025	221943375	-0.78
chr10	12729001	12729452	-0.78
chr10	40096515	40097000	-0.78
chr10	58015013	58015981	-0.78
chr10	77699567	77700942	-0.78
chr10	79533517	79533994	-0.78
chr10	87299023	87299456	-0.78
chr10	87524002	87524491	-0.78
chr10	99892505	99892972	-0.78
chr10	122504061	122504493	-0.78
chr10	125789050	125789862	-0.78
chr2	12057001	12057480	-0.78
chr2	32826015	32826496	-0.78
chr2	34079512	34079988	-0.78
chr2	37117622	37118500	-0.78
chr2	38673538	38673983	-0.78
chr2	50096049	50096389	-0.78
chr2	67938188	67938494	-0.78
chr2	68853006	68853461	-0.78
chr2	97381501	97381998	-0.78
chr2	100608098	100608988	-0.78
chr2	113005651	113005932	-0.78
chr2	122282562	122283992	-0.78
chr2	130896587	130897424	-0.78
chr2	133908614	133908984	-0.78
chr2	144296501	144296934	-0.78
chr2	168106686	168106963	-0.78
chr2	172773538	172773984	-0.78
chr2	177653504	177653989	-0.78
chr2	205750513	205750877	-0.78
chr5	182919512	182919974	-0.78
chr5	214788035	214788461	-0.78
chr6	160864026	160864414	-0.78
chr6	163366502	163367449	-0.78
chr7	24654011	24654492	-0.78
chr8	85989003	85989893	-0.78
chr8	94888625	94888966	-0.78
chr1	69744567	69744997	-0.77
chr1	104803508	104803994	-0.77
chr1	131211503	131212499	-0.77
chr1	161177511	161177998	-0.77
chr1	170346047	170347267	-0.77
chr1	171197001	171197999	-0.77
chr1	200711015	200711461	-0.77
chr1	202217065	202217498	-0.77
chr1	205039527	205039970	-0.77
chr1	220371696	220371870	-0.77
chr1	291483549	291483924	-0.77
chr10	28572002	28572982	-0.77
chr10	56458503	56458993	-0.77
chr10	98386066	98386474	-0.77
chr10	100506009	100506496	-0.77
chr10	100751501	100751983	-0.77
chr10	104514005	104514477	-0.77
chr10	117740001	117740449	-0.77
chr10	137397008	137397500	-0.77
chr10	139642576	139642973	-0.77
chr2	14416529	14416966	-0.77
chr2	30203002	30203493	-0.77
chr2	44311012	44311468	-0.77
chr2	68763009	68763998	-0.77
chr2	99180007	99180487	-0.77
chr2	114366511	114367000	-0.77
chr2	117536536	117536972	-0.77
chr2	140016009	140016972	-0.77
chr2	146821078	146822487	-0.77
chr2	156610012	156610950	-0.77
chr2	161622542	161622845	-0.77
chr2	168586524	168587489	-0.77
chr2	176570013	176570421	-0.77
chr3	151684007	151684977	-0.77
chr3	158688027	158688996	-0.77
chr5	2405010	2405461	-0.77
chr5	201724062	201724996	-0.77
chr5	205080016	205080917	-0.77
chr5	215545550	215545986	-0.77
chr7	6906501	6907982	-0.77
chr7	179268056	179268972	-0.77
chr8	82157006	82157362	-0.77
chr1	70113125	70113499	-0.76
chr1	72405524	72406485	-0.76
chr1	112780190	112780460	-0.76
chr1	118657005	118657974	-0.76
chr1	160592520	160592995	-0.76
chr1	197420348	197420499	-0.76
chr10	24378007	24378367	-0.76
chr10	53645015	53645977	-0.76
chr10	64470530	64470977	-0.76
chr10	80395080	80395993	-0.76
chr10	103159223	103160379	-0.76
chr10	138932513	138932970	-0.76
chr2	12413537	12415000	-0.76
chr2	46063005	46063482	-0.76
chr2	49528036	49528486	-0.76
chr2	50623019	50623494	-0.76
chr2	56864025	56864496	-0.76
chr2	92082201	92082500	-0.76
chr2	98247013	98247497	-0.76
chr2	125611513	125612484	-0.76
chr2	126589047	126590303	-0.76
chr2	162755610	162756500	-0.76
chr2	163238501	163238972	-0.76
chr2	179829133	179829373	-0.76
chr3	150919609	150919986	-0.76
chr3	151091501	151092396	-0.76
chr3	164675523	164675965	-0.76
chr4	234329057	234329457	-0.76
chr5	3461008	3461469	-0.76
chr7	8134016	8134482	-0.76
chr7	25586003	25587000	-0.76
chr8	80556509	80557961	-0.76
chr1	71290002	71290471	-0.75
chr1	74378090	74378500	-0.75
chr1	104110559	104110975	-0.75
chr1	161667597	161668478	-0.75
chr1	171510272	171511490	-0.75
